0,Zulässige Höchstgeschwindigkeit (20)
1,Zulässige Höchstgeschwindigkeit (30)
2,Zulässige Höchstgeschwindigkeit (50)
3,Zulässige Höchstgeschwindigkeit (60)
4,Zulässige Höchstgeschwindigkeit (70)
5,Zulässige Höchstgeschwindigkeit (80)
6,Ende der Geschwindigkeitsbegrenzung (80)
7,Zulässige Höchstgeschwindigkeit (100)
8,Zulässige Höchstgeschwindigkeit (120)
9,Überholverbot für Kraftfahrzeuge aller Art
10,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t"
11,Einmalige Vorfahrt
12,Vorfahrt
13,Vorfahrt gewähren
14,Stoppschild
15,Verbot für Fahrzeuge aller Art
16,"Verbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse von 3,5t"
17,Verbot der Einfahrt
18,Gefahrenstelle
19,Kurve (links)
20,Kurve (rechts)
21,Doppelkurve (zunächst links)
22,Unebene Fahrbahn
23,Schleudergefahr bei Nässe oder Schmutz
24,Einseitig verengte Fahrbahn?
25,Baustelle
26,Ampel?
27,Fußgänger
28,Kinder?
29,Fahrradfahrer
30,Schnee?
31,Wildwechsel
32,Ende aller Streckenverbote
33,Ausschließlich rechts
34,Ausschließlich links
35,Ausschließlich geradeaus
36,Geradeaus oder rechts
37,Geradeaus oder links
38,Rechts vorbei
39,Links vorbei
40,Kreisverkehr
41,Ende des Überholverbotes für Kraftfahrzeuge aller Art
42,"Ende des Überholverbotes für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t"
